As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region ,Statistical Area 2,Number of offences
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Alice Springs,-,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,NT Balance,Alligator,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Tennant Creek,-,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Alligator,2
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Daly,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Palmerston,-,2
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Tennant Creek,-,3
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Alice Springs,-,5
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,-,4
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Katherine,-,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Nhulunbuy,-,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Alligator,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Barkly,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Victoria River,2
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Weddell,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Yuendumu - Anmatjere,1
1/03/2020,2008,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Palmerston,-,5
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Alice Springs,-,53
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,-,12
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Katherine,-,16
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Nhulunbuy,-,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Alligator,5
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Barkly,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Daly,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,East Arnhem,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Elsey,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Gulf,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Humpty Doo,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Sandover - Plenty,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Victoria River,4
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Yuendumu - Anmatjere,9
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Palmerston,-,6
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,DV,Tennant Creek,-,24
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Alice Springs,-,16
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Darwin,-,34
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Katherine,-,19
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Nhulunbuy,-,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Alligator,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Anindilyakwa,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Barkly,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Elsey,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Gulf,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Petermann - Simpson,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Sandover - Plenty,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Tanami,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Thamarrurr,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Tiwi Islands,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Victoria River,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Weddell,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,NT Balance,Yuendumu - Anmatjere,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Palmerston,-,5
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involved,Non-DV,Tennant Creek,-,13
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,Alice Springs,-,4
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,Darwin,-,9
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,Katherine,-,4
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,NT Balance,Gulf,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,NT Balance,Tanami,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,NT Balance,Thamarrurr,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,NT Balance,Tiwi Islands,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,NT Balance,West Arnhem,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,Palmerston,-,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,DV,Tennant Creek,-,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Alice Springs,-,11
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Darwin,-,27
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Katherine,-,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,NT Balance,Anindilyakwa,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,NT Balance,East Arnhem,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,NT Balance,Tanami,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Palmerston,-,4
1/03/2020,2008,1,Acts intended to cause injury,Assault,Alcohol involvement unknown,Non-DV,Tennant Creek,-,5
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,Alice Springs,-,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,Darwin,-,4
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,Katherine,-,4
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,Nhulunbuy,-,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,NT Balance,Alligator,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,NT Balance,Anindilyakwa,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,NT Balance,Barkly,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,NT Balance,Elsey,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,NT Balance,Gulf,5
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,NT Balance,Tanami,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,NT Balance,Thamarrurr,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,NT Balance,Tiwi Islands,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,NT Balance,Victoria River,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,NT Balance,Yuendumu - Anmatjere,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,DV,Tennant Creek,-,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Alice Springs,-,7
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Darwin,-,5
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Nhulunbuy,-,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,NT Balance,Daly,1
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,NT Balance,East Arnhem,3
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,NT Balance,Gulf,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,NT Balance,Thamarrurr,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,NT Balance,Tiwi Islands,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Palmerston,-,2
1/03/2020,2008,1,Acts intended to cause injury,Assault,No alcohol involved,Non-DV,Tennant Creek,-,3
1/03/2020,2008,1,Acts intended to cause injury,Other acts intended to cause injury,-,-,Darwin,-,2
1/03/2020,2008,1,Acts intended to cause injury,Other acts intended to cause injury,-,-,NT Balance,Humpty Doo,1
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,Alice Springs,-,31
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,Darwin,-,67
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,Katherine,-,12
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,Nhulunbuy,-,2
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Alligator,3
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Anindilyakwa,1
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Barkly,4
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Daly,1
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,East Arnhem,2
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Elsey,3
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Gulf,6
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Howard Springs,1
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Petermann - Simpson,1
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Tanami,2
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Thamarrurr,2
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Tiwi Islands,6
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Victoria River,2
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Virginia,2
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,West Arnhem,3
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Yuendumu - Anmatjere,1
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,Palmerston,-,12
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins actual,-,-,Tennant Creek,-,8
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins attempted,-,-,Alice Springs,-,1
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins attempted,-,-,Darwin,-,11
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins attempted,-,-,Katherine,-,3
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,East Arnhem,1
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Gulf,2
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,West Arnhem,1
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins attempted,-,-,Palmerston,-,2
1/03/2020,2008,1,Commercial break-ins,Commercial break-ins attempted,-,-,Tennant Creek,-,2
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,Alice Springs,-,26
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,Darwin,-,62
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,Katherine,-,4
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,Nhulunbuy,-,2
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,NT Balance,Alligator,5
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,NT Balance,Daly,2
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,NT Balance,East Arnhem,4
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,NT Balance,Elsey,1
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,NT Balance,Gulf,2
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,NT Balance,Howard Springs,3
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,NT Balance,Humpty Doo,2
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,NT Balance,Sandover - Plenty,1
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,NT Balance,Thamarrurr,5
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,NT Balance,Tiwi Islands,4
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,NT Balance,Victoria River,1
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,NT Balance,Yuendumu - Anmatjere,2
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,Palmerston,-,18
1/03/2020,2008,1,House break-ins,House break-ins actual,-,-,Tennant Creek,-,7
1/03/2020,2008,1,House break-ins,House break-ins attempted,-,-,Darwin,-,9
1/03/2020,2008,1,House break-ins,House break-ins attempted,-,-,NT Balance,East Arnhem,1
1/03/2020,2008,1,House break-ins,House break-ins attempted,-,-,Palmerston,-,4
1/03/2020,2008,1,House break-ins,House break-ins attempted,-,-,Tennant Creek,-,1
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Alice Springs,-,9
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Darwin,-,28
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Katherine,-,3
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Nhulunbuy,-,1
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Barkly,1
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Daly,1
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,East Arnhem,1
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Gulf,1
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Humpty Doo,1
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Thamarrurr,2
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Victoria River,1
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Virginia,2
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,West Arnhem,2
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Palmerston,-,9
1/03/2020,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,-,-,Tennant Creek,-,3
1/03/2020,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Alice Springs,-,14
1/03/2020,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Darwin,-,40
1/03/2020,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Katherine,-,7
1/03/2020,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Alligator,2
1/03/2020,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Anindilyakwa,1
1/03/2020,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Barkly,1
1/03/2020,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,East Arnhem,1
1/03/2020,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Howard Springs,1
1/03/2020,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Petermann - Simpson,2
1/03/2020,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Victoria River,1
1/03/2020,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,NT Balance,Weddell,1
1/03/2020,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Palmerston,-,26
1/03/2020,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,-,-,Tennant Creek,-,1
1/03/2020,2008,1,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Alice Springs,-,2
1/03/2020,2008,1,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Nhulunbuy,-,1
1/03/2020,2008,1,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Tennant Creek,-,1
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,Alice Springs,-,136
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,Darwin,-,340
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,Katherine,-,47
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,Nhulunbuy,-,14
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Alligator,6
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Anindilyakwa,5
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Barkly,3
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Daly,2
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,East Arnhem,6
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Elsey,1
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Gulf,7
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Howard Springs,2
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Humpty Doo,9
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Petermann - Simpson,7
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Tanami,4
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Thamarrurr,4
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Tiwi Islands,3
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Victoria River,5
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Virginia,1
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Weddell,1
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,West Arnhem,3
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,NT Balance,Yuendumu - Anmatjere,3
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,Palmerston,-,118
1/03/2020,2008,1,Property Damage Offences,Property damage offences,-,-,Tennant Creek,-,33
1/03/2020,2008,1,Robbery - extortion and related offences,Robbery,-,-,Alice Springs,-,1
1/03/2020,2008,1,Robbery - extortion and related offences,Robbery,-,-,Darwin,-,2
1/03/2020,2008,1,Robbery - extortion and related offences,Robbery,-,-,Katherine,-,1
1/03/2020,2008,1,Robbery - extortion and related offences,Robbery,-,-,Palmerston,-,1
1/03/2020,2008,1,Robbery - extortion and related offences,Robbery,-,-,Tennant Creek,-,1
1/03/2020,2008,1,Sexual Assault and related offences,Non-assaultive sexual offences,-,-,Darwin,-,1
1/03/2020,2008,1,Sexual Assault and related offences,Non-assaultive sexual offences,-,-,NT Balance,Alligator,1
1/03/2020,2008,1,Sexual Assault and related offences,Non-assaultive sexual offences,-,-,NT Balance,Gulf,1
1/03/2020,2008,1,Sexual Assault and related offences,Non-assaultive sexual offences,-,-,Palmerston,-,1
1/03/2020,2008,1,Sexual Assault and related offences,Sexual assault,-,-,Alice Springs,-,9
1/03/2020,2008,1,Sexual Assault and related offences,Sexual assault,-,-,Darwin,-,13
1/03/2020,2008,1,Sexual Assault and related offences,Sexual assault,-,-,Nhulunbuy,-,1
1/03/2020,2008,1,Sexual Assault and related offences,Sexual assault,-,-,NT Balance,Alligator,2
1/03/2020,2008,1,Sexual Assault and related offences,Sexual assault,-,-,NT Balance,Barkly,1
1/03/2020,2008,1,Sexual Assault and related offences,Sexual assault,-,-,NT Balance,East Arnhem,1
1/03/2020,2008,1,Sexual Assault and related offences,Sexual assault,-,-,NT Balance,Gulf,1
1/03/2020,2008,1,Sexual Assault and related offences,Sexual assault,-,-,NT Balance,Sandover - Plenty,2
1/03/2020,2008,1,Sexual Assault and related offences,Sexual assault,-,-,NT Balance,West Arnhem,3
1/03/2020,2008,1,Sexual Assault and related offences,Sexual assault,-,-,NT Balance,Yuendumu - Anmatjere,2
1/03/2020,2008,1,Sexual Assault and related offences,Sexual assault,-,-,Palmerston,-,7
1/03/2020,2008,1,Sexual Assault and related offences,Sexual assault,-,-,Tennant Creek,-,1
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Alice Springs,-,91
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Darwin,-,295
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Katherine,-,45
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Nhulunbuy,-,11
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Alligator,7
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Anindilyakwa,6
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Barkly,3
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Daly,3
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,East Arnhem,8
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Elsey,2
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Gulf,5
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Howard Springs,6
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Humpty Doo,5
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Petermann - Simpson,4
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Sandover - Plenty,1
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Tanami,2
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Thamarrurr,3
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Tiwi Islands,9
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Victoria River,6
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Virginia,6
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Weddell,4
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,West Arnhem,3
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Yuendumu - Anmatjere,1
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Palmerston,-,93
1/03/2020,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Tennant Creek,-,25
1/03/2020,2008,2,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Alice Springs,-,3
1/03/2020,2008,2,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,West Arnhem,2
1/03/2020,2008,2,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Palmerston,-,1
1/03/2020,2008,2,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Tennant Creek,-,1
1/03/2020,2008,2,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Alice Springs,-,2
1/03/2020,2008,2,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,-,4
1/03/2020,2008,2,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Katherine,-,1
1/03/2020,2008,2,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Alligator,1
1/03/2020,2008,2,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Gulf,1
1/03/2020,2008,2,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Tanami,1
1/03/2020,2008,2,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Thamarrurr,1
1/03/2020,2008,2,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Victoria River,1
1/03/2020,2008,2,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Virginia,1
1/03/2020,2008,2,Acts intended to cause injury,Assault,Alcohol involved,DV,Alice Springs,-,45
1/03/2020,2008,2,Acts intended to cause injury,Assault,Alcohol involved,DV,Darwin,-,15
1/03/2020,2008,2,Acts intended to cause injury,Assault,Alcohol involved,DV,Katherine,-,12
1/03/2020,2008,2,Acts intended to cause injury,Assault,Alcohol involved,DV,Nhulunbuy,-,2
1/03/2020,2008,2,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Barkly,5
1/03/2020,2008,2,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,East Arnhem,2
1/03/2020,2008,2,Acts intended to cause injury,Assault,Alcohol involved,DV,NT Balance,Elsey,2
